First Name,Money Available,Last Name,TicketMiner Membership,Username,ID,Password,User Type,Concerts Purchased
Adam,1159697.17,Bass,FALSE,adambass,417,Fun!23,Customer,0
Adam,2484415.98,Maldonado,FALSE,adammaldonado,296,Fun!23,Customer,0
Aladdin,1329016.97,Disney,TRUE,aladdindisney,11,Fun!23,Customer,0
Alan,1702713.65,Gamez,TRUE,alangamez,52,Fun!23,Customer,0
Alejandra,1570979.69,Morris,TRUE,alejandramorris,249,Fun!23,Customer,0
Alex,1336987.47,Vega,FALSE,alexvega,87,Fun!23,Customer,0
Alexander,1017102.04,Cameron,FALSE,alexandercameron,332,Fun!23,Customer,0
Alexander,1799509.91,Carter,TRUE,alexandercarter,531,Fun!23,Customer,0
Alexander,1625607.71,Kelly,FALSE,alexanderkelly,232,Fun!23,Customer,0
Alexander,2733978.82,Wilson,TRUE,alexanderwilson,850,Fun!23,Customer,0
Alexandra,2856865.5,Cook,TRUE,alexandracook,958,Fun!23,Customer,0
Alexandra,2304322.42,Fox,FALSE,alexandrafox,462,Fun!23,Customer,0
Alexandra,2817672.19,Robinson,FALSE,alexandrarobinson,292,Fun!23,Customer,0
Alexandra,2157205.09,Simpson,FALSE,alexandrasimpson,781,Fun!23,Customer,0
Alexis,2316072.69,Black,TRUE,alexisblack,771,Fun!23,Customer,0
Alexis,1927607.8,Ford,FALSE,alexisford,251,Fun!23,Customer,0
Alexis,2913597.39,Reta,TRUE,alexisreta,75,Fun!23,Customer,0
Alexis,1872986.92,Shea,FALSE,alexisshea,448,Fun!23,Customer,0
Ali,1790899.54,Nouri,TRUE,alinouri,38,Fun!23,Customer,0
Alicia,2367693.69,Jenkins,TRUE,aliciajenkins,384,Fun!23,Customer,0
Allison,,Chang,,allisonchang,275,Fun!23,Organizer,
Allison,,Cross,,allisoncross,403,Fun!23,Organizer,
Allison,,Weaver,,allisonweaver,731,Fun!23,Organizer,
Alyssa,,Kelly,,alyssakelly,791,Fun!23,Organizer,
Alyssa,,Poole,,alyssapoole,674,Fun!23,Organizer,
Alyssa,,Reese,,alyssareese,470,Fun!23,Organizer,
Alyssa,,Smith,,alyssasmith,592,Fun!23,Organizer,
Amanda,,Baker,,amandabaker,1037,Fun!23,Organizer,
Amanda,,Johnson,,amandajohnson,913,Fun!23,Organizer,
Amanda,,Miller,,amandamiller,207,Fun!23,Organizer,
Amanda,,Shepherd,,amandashepherd,331,Fun!23,Organizer,
Angela,,Carney,,angelacarney,743,Fun!23,Admin,
Angela,,English,,angelaenglish,1032,Fun!23,Admin,
Angela,,Lang,,angelalang,504,Fun!23,Admin,
Angela,,Mcintyre,,angelamcintyre,473,Fun!23,Admin,
Angela,,Walker,,angelawalker,543,Fun!23,Admin,
Angelica,,Bruce,,angelicabruce,269,Fun!23,Admin,
